kind,id,payload
employee,E0001,"{""employee_id"":""E0001"",""full_name"":""Marat Yessenov"",""department"":""Backend Development"",""role"":""Backend Engineer"",""grade"":""Junior"",""manager_id"":""E0050"",""hire_date"":""2026-04-28"",""tenure_months"":5,""work_format"":""office"",""preferred_language"":""kk"",""career_goal"":{""target_role"":""Backend Engineer"",""target_grade"":""Middle""},""skills"":{""SK_ADAPTABILITY"":2,""SK_API_DESIGN"":2,""SK_APP_SECURITY"":0,""SK_CICD"":1,""SK_CLOUD"":1,""SK_COMMUNICATION"":2,""SK_CONFLICT_RESOLUTION"":3,""SK_CONTAINERS"":0,""SK_CRITICAL_THINKING"":3,""SK_EMOTIONAL_INTELLIGENCE"":2,""SK_FEEDBACK"":2,""SK_LEADERSHIP"":1,""SK_MENTORING"":0,""SK_OBSERVABILITY"":0,""SK_PROBLEM_SOLVING"":2,""SK_PUBLIC_SPEAKING"":0,""SK_PYTHON"":3,""SK_SQL"":2,""SK_STAKEHOLDER_MGMT"":1,""SK_SYSTEM_DESIGN"":1,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":2,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-09-11""}"
employee,E0002,"{""employee_id"":""E0002"",""full_name"":""Arman Zhaksylykov"",""department"":""Backend Development"",""role"":""Backend Engineer"",""grade"":""Middle"",""manager_id"":""E0175"",""hire_date"":""2023-04-25"",""tenure_months"":41,""work_format"":""remote"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Backend Engineer"",""target_grade"":""Senior""},""skills"":{""SK_ADAPTABILITY"":1,""SK_API_DESIGN"":1,""SK_API_TESTING"":1,""SK_APP_SECURITY"":2,""SK_CICD"":2,""SK_CLOUD"":2,""SK_COMMUNICATION"":2,""SK_CONFLICT_RESOLUTION"":3,""SK_CONTAINERS"":1,""SK_CRITICAL_THINKING"":3,""SK_EMOTIONAL_INTELLIGENCE"":2,""SK_FEEDBACK"":2,""SK_LEADERSHIP"":1,""SK_MENTORING"":1,""SK_OBSERVABILITY"":2,""SK_PROBLEM_SOLVING"":4,""SK_PROSPECTING"":1,""SK_PUBLIC_SPEAKING"":1,""SK_PYTHON"":3,""SK_SQL"":3,""SK_STAKEHOLDER_MGMT"":1,""SK_SYSTEM_DESIGN"":1,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":3,""SK_WRITTEN_COMMUNICATION"":1},""last_review_date"":""2026-07-23""}"
employee,E0003,"{""employee_id"":""E0003"",""full_name"":""Symbat Omarova"",""department"":""Customer Support"",""role"":""Customer Support Specialist"",""grade"":""Senior"",""manager_id"":""E0035"",""hire_date"":""2019-09-16"",""tenure_months"":84,""work_format"":""hybrid"",""preferred_language"":""kk"",""career_goal"":null,""skills"":{""SK_ADAPTABILITY"":2,""SK_COMMUNICATION"":4,""SK_CONFLICT_RESOLUTION"":2,""SK_CRITICAL_THINKING"":2,""SK_CRM"":2,""SK_CUSTOMER_SERVICE"":4,""SK_EMOTIONAL_INTELLIGENCE"":4,""SK_FEEDBACK"":2,""SK_LEADERSHIP"":2,""SK_MENTORING"":2,""SK_PROBLEM_SOLVING"":1,""SK_PRODUCT_KNOWLEDGE"":4,""SK_PUBLIC_SPEAKING"":2,""SK_STAKEHOLDER_MGMT"":2,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":3,""SK_TROUBLESHOOTING"":2,""SK_WRITTEN_COMMUNICATION"":4},""last_review_date"":""2026-02-13""}"
employee,E0004,"{""employee_id"":""E0004"",""full_name"":""Nikita Smirnov"",""department"":""Data \u0026 Analytics"",""role"":""Data Analyst"",""grade"":""Middle"",""manager_id"":""E0061"",""hire_date"":""2021-10-21"",""tenure_months"":59,""work_format"":""office"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Product Manager"",""target_grade"":""Middle""},""skills"":{""SK_AB_TESTING"":2,""SK_ADAPTABILITY"":1,""SK_API_TESTING"":1,""SK_BI_TOOLS"":2,""SK_COMMUNICATION"":3,""SK_CONFLICT_RESOLUTION"":2,""SK_CRITICAL_THINKING"":2,""SK_DATA_MODELING"":1,""SK_DATA_VIZ"":2,""SK_EMOTIONAL_INTELLIGENCE"":2,""SK_FEEDBACK"":1,""SK_LEADERSHIP"":2,""SK_MENTORING"":0,""SK_ML_BASICS"":2,""SK_PROBLEM_SOLVING"":3,""SK_PRODUCT_ANALYTICS"":2,""SK_PROSPECTING"":2,""SK_PUBLIC_SPEAKING"":1,""SK_PYTHON"":3,""SK_SQL"":4,""SK_STAKEHOLDER_MGMT"":2,""SK_STATISTICS"":2,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":1,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-01-12""}"
employee,E0005,"{""employee_id"":""E0005"",""full_name"":""Togzhan Yessenova"",""department"":""Backend Development"",""role"":""Backend Engineer"",""grade"":""Middle"",""manager_id"":""E0175"",""hire_date"":""2024-06-12"",""tenure_months"":27,""work_format"":""hybrid"",""preferred_language"":""kk"",""career_goal"":{""target_role"":""Backend Engineer"",""target_grade"":""Senior""},""skills"":{""SK_ADAPTABILITY"":2,""SK_API_DESIGN"":3,""SK_APP_SECURITY"":1,""SK_CICD"":3,""SK_CLOUD"":2,""SK_COMMUNICATION"":4,""SK_CONFLICT_RESOLUTION"":2,""SK_CONTAINERS"":3,""SK_CRITICAL_THINKING"":3,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":1,""SK_LABOR_LAW"":1,""SK_LEADERSHIP"":1,""SK_MENTORING"":1,""SK_NEGOTIATION"":1,""SK_OBSERVABILITY"":2,""SK_PROBLEM_SOLVING"":3,""SK_PUBLIC_SPEAKING"":0,""SK_PYTHON"":2,""SK_SQL"":3,""SK_STAKEHOLDER_MGMT"":2,""SK_SYSTEM_DESIGN"":2,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":1,""SK_WRITTEN_COMMUNICATION"":2},""last_review_date"":""2026-08-07""}"
employee,E0006,"{""employee_id"":""E0006"",""full_name"":""Arman Sadykov"",""department"":""Frontend Development"",""role"":""Frontend Engineer"",""grade"":""Lead"",""manager_id"":null,""hire_date"":""2018-01-16"",""tenure_months"":104,""work_format"":""office"",""preferred_language"":""kk"",""career_goal"":null,""skills"":{""SK_ACCESSIBILITY"":4,""SK_ADAPTABILITY"":3,""SK_API_DESIGN"":3,""SK_CICD"":1,""SK_COMMUNICATION"":4,""SK_CONFLICT_RESOLUTION"":3,""SK_CRITICAL_THINKING"":3,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":3,""SK_HTML_CSS"":4,""SK_JAVASCRIPT"":2,""SK_LEADERSHIP"":2,""SK_MENTORING"":4,""SK_PROBLEM_SOLVING"":4,""SK_PUBLIC_SPEAKING"":2,""SK_REACT"":4,""SK_STAKEHOLDER_MGMT"":2,""SK_TEAMWORK"":4,""SK_TIME_MANAGEMENT"":2,""SK_TYPESCRIPT"":4,""SK_WEB_PERFORMANCE"":4,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-09-21""}"
employee,E0007,"{""employee_id"":""E0007"",""full_name"":""Kanat Tulegenov"",""department"":""Backend Development"",""role"":""Backend Engineer"",""grade"":""Senior"",""manager_id"":""E0175"",""hire_date"":""2018-10-26"",""tenure_months"":95,""work_format"":""office"",""preferred_language"":""kk"",""career_goal"":{""target_role"":""Backend Engineer"",""target_grade"":""Lead""},""skills"":{""SK_ADAPTABILITY"":3,""SK_API_DESIGN"":3,""SK_APP_SECURITY"":4,""SK_CICD"":3,""SK_CLOUD"":4,""SK_COMMUNICATION"":2,""SK_CONFLICT_RESOLUTION"":3,""SK_CONTAINERS"":2,""SK_CRITICAL_THINKING"":2,""SK_EMOTIONAL_INTELLIGENCE"":2,""SK_FEEDBACK"":1,""SK_JAVA"":1,""SK_LEADERSHIP"":2,""SK_MENTORING"":3,""SK_NEGOTIATION"":1,""SK_OBSERVABILITY"":1,""SK_PROBLEM_SOLVING"":5,""SK_PUBLIC_SPEAKING"":3,""SK_PYTHON"":3,""SK_SQL"":5,""SK_STAKEHOLDER_MGMT"":2,""SK_SYSTEM_DESIGN"":4,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":3,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-07-31""}"
employee,E0008,"{""employee_id"":""E0008"",""full_name"":""Botagoz Sadykova"",""department"":""Frontend Development"",""role"":""Frontend Engineer"",""grade"":""Senior"",""manager_id"":""E0006"",""hire_date"":""2024-11-11"",""tenure_months"":22,""work_format"":""remote"",""preferred_language"":""en"",""career_goal"":null,""skills"":{""SK_ACCESSIBILITY"":2,""SK_ADAPTABILITY"":2,""SK_API_DESIGN"":1,""SK_CICD"":0,""SK_COMMUNICATION"":4,""SK_CONFLICT_RESOLUTION"":1,""SK_CRITICAL_THINKING"":2,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":2,""SK_HTML_CSS"":3,""SK_JAVASCRIPT"":5,""SK_LABOR_LAW"":1,""SK_LEADERSHIP"":1,""SK_MENTORING"":3,""SK_ML_BASICS"":1,""SK_PROBLEM_SOLVING"":3,""SK_PUBLIC_SPEAKING"":3,""SK_REACT"":4,""SK_STAKEHOLDER_MGMT"":2,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":3,""SK_TYPESCRIPT"":4,""SK_WEB_PERFORMANCE"":5,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-01-26""}"
employee,E0009,"{""employee_id"":""E0009"",""full_name"":""Anna Novikova"",""department"":""Customer Support"",""role"":""Customer Support Specialist"",""grade"":""Junior"",""manager_id"":""E0035"",""hire_date"":""2025-11-27"",""tenure_months"":10,""work_format"":""remote"",""preferred_language"":""en"",""career_goal"":{""target_role"":""QA Engineer"",""target_grade"":""Junior""},""skills"":{""SK_ADAPTABILITY"":2,""SK_COMMUNICATION"":2,""SK_CONFLICT_RESOLUTION"":2,""SK_CRITICAL_THINKING"":2,""SK_CRM"":1,""SK_CUSTOMER_SERVICE"":1,""SK_EMOTIONAL_INTELLIGENCE"":2,""SK_FEEDBACK"":2,""SK_LEADERSHIP"":1,""SK_MENTORING"":1,""SK_PROBLEM_SOLVING"":2,""SK_PRODUCT_ANALYTICS"":1,""SK_PRODUCT_KNOWLEDGE"":2,""SK_PUBLIC_SPEAKING"":2,""SK_STAKEHOLDER_MGMT"":2,""SK_TEAMWORK"":2,""SK_TEST_AUTOMATION"":1,""SK_TIME_MANAGEMENT"":1,""SK_TROUBLESHOOTING"":0,""SK_WRITTEN_COMMUNICATION"":1},""last_review_date"":""2026-04-13""}"
employee,E0010,"{""employee_id"":""E0010"",""full_name"":""Aruzhan Seitkali"",""department"":""Customer Support"",""role"":""Customer Support Specialist"",""grade"":""Middle"",""manager_id"":""E0035"",""hire_date"":""2023-11-24"",""tenure_months"":34,""work_format"":""remote"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""QA Engineer"",""target_grade"":""Middle""},""skills"":{""SK_ADAPTABILITY"":2,""SK_COMMUNICATION"":3,""SK_CONFLICT_RESOLUTION"":2,""SK_CRITICAL_THINKING"":3,""SK_CRM"":1,""SK_CUSTOMER_SERVICE"":4,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":0,""SK_LEADERSHIP"":1,""SK_MENTORING"":2,""SK_PROBLEM_SOLVING"":1,""SK_PRODUCT_KNOWLEDGE"":3,""SK_PUBLIC_SPEAKING"":2,""SK_PYTHON"":2,""SK_STAKEHOLDER_MGMT"":1,""SK_TEAMWORK"":1,""SK_TIME_MANAGEMENT"":1,""SK_TROUBLESHOOTING"":1,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-07-28""}"
